Peers, ppm, machines, setup_wall_min, setup_wall_max, setup_wall_avg, setup_wall_dev, setup_user_min, setup_user_max, setup_user_avg, setup_user_dev, setup_system_min, setup_system_max, setup_system_avg, setup_system_dev, round_wall_min, round_wall_max, round_wall_avg, round_wall_dev, round_user_min, round_user_max, round_user_avg, round_user_dev, round_system_min, round_system_max, round_system_avg, round_system_dev, calc_wall_min, calc_wall_max, calc_wall_avg, calc_wall_dev, calc_user_min, calc_user_max, calc_user_avg, calc_user_dev, calc_system_min, calc_system_max, calc_system_avg, calc_system_dev, verify_wall_min, verify_wall_max, verify_wall_avg, verify_wall_dev, verify_user_min, verify_user_max, verify_user_avg, verify_user_dev, verify_system_min, verify_system_max, verify_system_avg, verify_system_dev, aggregate_wall_min, aggregate_wall_max, aggregate_wall_avg, aggregate_wall_dev, aggregate_user_min, aggregate_user_max, aggregate_user_avg, aggregate_user_dev, aggregate_system_min, aggregate_system_max, aggregate_system_avg, aggregate_system_dev
2, 1, 2, 2.155732, 2.155732, 2.155732, NaN, 0.000524, 0.000524, 0.000524, NaN, 0.000022, 0.000022, 0.000022, NaN, 0.126256, 0.130339, 0.129067, 0.001906, 0.010085, 0.027139, 0.021790, 0.005558, 0.000089, 0.008734, 0.003339, 0.003184, 0.109176, 0.113777, 0.111796, 0.001382, 0.000000, 0.002971, 0.001539, 0.000767, 0.000000, 0.000154, 0.000072, 0.000063, 0.011346, 0.020272, 0.016469, 0.002740, 0.010069, 0.030873, 0.021333, 0.005583, 0.000000, 0.004582, 0.001514, 0.002079, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
4, 1, 4, 2.028280, 2.028280, 2.028280, NaN, 0.000960, 0.000960, 0.000960, NaN, 0.000042, 0.000042, 0.000042, NaN, 0.145014, 0.158306, 0.150560, 0.004816, 0.050251, 0.068737, 0.059494, 0.013072, 0.000111, 0.004134, 0.002298, 0.001970, 0.111520, 0.114106, 0.112509, 0.000938, 0.002669, 0.007907, 0.004466, 0.001504, 0.000000, 0.003977, 0.000420, 0.001251, 0.032801, 0.044089, 0.037931, 0.003210, 0.043404, 0.065248, 0.052874, 0.007549, 0.000000, 0.008088, 0.002451, 0.002745, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
8, 1, 8, 2.252462, 2.252462, 2.252462, NaN, 0.001859, 0.001859, 0.001859, NaN, 0.000266, 0.000266, 0.000266, NaN, 0.188399, 0.198761, 0.194171, 0.003795, 0.116326, 0.140602, 0.128892, 0.009750, 0.000751, 0.016327, 0.007390, 0.007286, 0.111170, 0.114183, 0.112427, 0.001061, 0.005287, 0.018596, 0.009926, 0.004634, 0.000000, 0.003643, 0.001088, 0.001339, 0.075254, 0.087563, 0.081732, 0.003867, 0.100899, 0.140041, 0.114729, 0.011646, 0.000157, 0.022705, 0.007841, 0.007388, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
16, 1, 16, 2.289112, 2.289112, 2.289112, NaN, 0.003854, 0.003854, 0.003854, NaN, 0.000525, 0.000525, 0.000525, NaN, 0.277228, 0.310899, 0.291643, 0.008996, 0.269531, 0.332693, 0.302430, 0.021483, 0.014039, 0.040193, 0.024880, 0.011379, 0.111562, 0.115046, 0.112998, 0.001207, 0.008537, 0.037916, 0.019259, 0.008214, 0.000000, 0.006592, 0.002447, 0.002480, 0.165536, 0.195737, 0.179617, 0.008540, 0.260820, 0.311611, 0.285185, 0.017034, 0.007032, 0.035341, 0.021486, 0.009288, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
32, 2, 16, 2.218831, 2.218831, 2.218831, NaN, 0.003567, 0.003567, 0.003567, NaN, 0.004371, 0.004371, 0.004371, NaN, 0.480057, 0.499627, 0.492560, 0.006263, 0.690949, 0.747376, 0.725643, 0.022884, 0.030860, 0.101585, 0.049472, 0.023377, 0.113885, 0.119264, 0.116542, 0.001519, 0.010738, 0.078056, 0.044936, 0.017296, 0.000000, 0.038066, 0.007205, 0.012452, 0.362988, 0.382086, 0.376541, 0.005554, 0.647433, 0.711206, 0.681586, 0.022330, 0.029224, 0.081389, 0.044086, 0.017272, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
64, 4, 16, 2.261288, 2.261288, 2.261288, NaN, 0.010815, 0.010815, 0.010815, NaN, 0.004404, 0.004404, 0.004404, NaN, 0.955024, 1.030475, 0.980034, 0.026467, 1.938471, 2.309333, 2.167817, 0.126820, 0.090856, 0.197062, 0.132049, 0.032970, 0.117025, 0.121642, 0.118771, 0.001348, 0.072381, 0.136882, 0.101285, 0.023124, 0.000000, 0.038883, 0.007885, 0.011661, 0.835430, 0.912057, 0.867890, 0.027783, 1.856604, 2.236680, 2.090808, 0.122972, 0.076229, 0.184595, 0.129826, 0.032349, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
128, 8, 16, 2.268213, 2.268213, 2.268213, NaN, 0.019063, 0.019063, 0.019063, NaN, 0.016107, 0.016107, 0.016107, NaN, 2.094473, 2.094473, 2.094473, NaN, 6.736235, 6.843439, 6.789837, 0.075805, 0.276123, 0.413313, 0.351954, 0.040630, 0.123014, 0.133054, 0.128100, 0.003345, 0.211318, 0.304841, 0.266304, 0.032451, 0.000475, 0.036571, 0.016425, 0.013440, 1.767512, 1.964616, 1.853226, 0.058773, 5.535990, 6.551808, 6.097279, 0.365947, 0.272996, 0.409140, 0.340191, 0.037008, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
256, 16, 16, 2.227667, 2.227667, 2.227667, NaN, 0.029989, 0.029989, 0.029989, NaN, 0.019250, 0.019250, 0.019250, NaN, 3.562323, 3.681144, 3.613205, 0.049683, 12.501789, 13.177000, 12.747147, 0.373505, 0.699203, 0.699203, 0.699203, NaN, 0.138155, 0.154263, 0.148035, 0.004945, 0.471637, 0.623597, 0.523343, 0.042656, 0.019642, 0.108683, 0.053101, 0.028532, 3.394362, 3.538764, 3.461943, 0.046912, 11.684951, 12.553286, 12.003728, 0.253140, 0.431187, 0.616095, 0.514248, 0.059332, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
512, 32, 16, 2.440658, 2.440658, 2.440658, NaN, 0.064032, 0.064032, 0.064032, NaN, 0.018281, 0.018281, 0.018281, NaN, 6.682569, 7.032649, 6.797579, 0.158963, 25.471154, 25.996554, 25.782915, 0.228523, 0.950744, 1.080978, 0.993190, 0.040435, 0.167258, 0.549531, 0.215320, 0.117927, 0.910367, 1.350206, 1.055625, 0.154180, 0.053476, 0.181526, 0.113156, 0.041613, 6.482952, 6.588814, 6.541780, 0.035546, 24.114476, 25.163737, 24.610966, 0.350310, 0.802992, 1.027471, 0.898388, 0.070737, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1024, 64, 16, 2.384668, 2.384668, 2.384668, NaN, 0.070780, 0.070780, 0.070780, NaN, 0.060459, 0.060459, 0.060459, NaN, 12.924714, 13.715468, 13.206753, 0.441429, 49.203519, 51.002262, 50.281395, 0.611533, 1.431790, 1.681442, 1.587766, 0.105940, 0.233279, 1.208672, 0.335549, 0.306817, 1.889071, 2.372382, 2.040667, 0.134519, 0.145239, 0.386064, 0.300798, 0.068260, 12.506597, 12.770110, 12.689228, 0.078304, 46.805435, 49.264418, 48.284876, 0.838077, 1.045697, 1.416520, 1.289702, 0.108817, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2048, 128, 16, 2.598959, 2.598959, 2.598959, NaN, 0.219421, 0.219421, 0.219421, NaN, 0.071584, 0.071584, 0.071584, NaN, 24.653574, 25.901185, 25.176919, 0.483547, 94.522991, 96.339014, 95.249216, 0.771016, 2.415773, 2.847312, 2.615004, 0.141028, 0.365070, 1.562925, 0.902761, 0.499056, 3.677736, 4.908132, 4.018892, 0.333824, 0.352048, 0.584257, 0.451967, 0.070313, 24.147715, 24.596460, 24.392387, 0.147730, 87.624254, 92.556606, 90.369476, 1.440209, 1.959847, 2.259131, 2.149571, 0.102240, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
